asn,category,tags
159,Academic/Edu,"Colleges, Universities, and Professional Schools|Validating RPKI ROV|Health Care Services|Education and Research"
160,Academic/Edu,"Tor services|Validating RPKI ROV|Education and Research|Colleges, Universities, and Professional Schools"
161,Enterprise,Corporate/Enterprise|Not Validating RPKI ROV|Manufacturing|Electronics and Computer Components
162,Other,Manufacturing|Health Care Services
163,ISP,"Law, Business, and Consulting Services|Computer and Information Technology|Manufacturing|Service"
164,Government,"Military, Defense, National Security, and International Affairs|Government and Public Administration"
165,Government,"Military, Defense, National Security, and International Affairs|Government and Public Administration"
166,Academic/Edu,Community Groups and Nonprofits|Validating RPKI ROV|Research and Development Organizations|Government and Public Administration
167,Academic/Edu,"Not Validating RPKI ROV|Education and Research|Colleges, Universities, and Professional Schools|Academic"
168,Academic/Edu,"Education and Research|Colleges, Universities, and Professional Schools|IPv6 only"
169,Government,"Military, Defense, National Security, and International Affairs|Government and Public Administration"
170,ISP,Computer and Information Technology|Internet Service Provider (ISP)
171,ISP,Computer and Information Technology|Internet Service Provider (ISP)
172,ISP,Computer and Information Technology|Internet Service Provider (ISP)
393380,ISP,Internet Service Provider (ISP)|Software Development|Computer and Information Technology|Other
174,ISP,T1|Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology
175,Government,"Military, Defense, National Security, and International Affairs|Government and Public Administration"
176,Other,Computer and Information Technology
177,Academic/Edu,"Service|Colleges, Universities, and Professional Schools|Other Schools, Instruction, and Exam Preparation (Trade Schools, Art Schools, Driving Instruction, etc.)|Education Software"
178,Academic/Edu,"Education Software|Education and Research|Colleges, Universities, and Professional Schools|Service"
179,Academic/Edu,"Service|Education Software|Education and Research|Colleges, Universities, and Professional Schools"
180,Academic/Edu,"Education and Research|Service|Colleges, Universities, and Professional Schools|Education Software"
181,ISP,"Computer and Information Technology|Media, Publishing, and Broadcasting|Software Development|Internet Service Provider (ISP)"
182,Content/CDN,"Computer and Information Technology|Education and Research|Software Development|Media, Publishing, and Broadcasting"
183,Content/CDN,"Software Development|Media, Publishing, and Broadcasting|Human Rights and Social Advocacy (Human Rights, Environment and Wildlife Conservation, Other)|Computer and Information Technology"
184,Content/CDN,"Community Groups and Nonprofits|Education and Research|Software Development|Media, Publishing, and Broadcasting"
185,Content/CDN,"Hosting, Cloud Provider, Data Center, Server Colocation|Media, Publishing, and Broadcasting|Community Groups and Nonprofits|Human Rights and Social Advocacy (Human Rights, Environment and Wildlife Conservation, Other)"
186,Academic/Edu,"Not Validating RPKI ROV|Colleges, Universities, and Professional Schools|Education and Research|Academic"
187,ISP,Internet Critical Infra|Computer and Information Technology|Technology Consulting Services|Internet Service Provider (ISP)
188,ISP,Validating RPKI ROV|Internet Service Provider (ISP)|Service|Software Development
189,ISP,"Technology Consulting Services|Law, Business, and Consulting Services|Computer and Information Technology|Computer and Network Security"
190,Other,Health Care Services|Manufacturing
191,Other,Manufacturing|Health Care Services
192,Academic/Edu,"Education and Research|Colleges, Universities, and Professional Schools"
