asn,category,tags
197149,Other,Computer and Information Technology|Software Development
49695,ISP,Internet Service Provider (ISP)|Computer and Information Technology
205338,Other,Computer and Information Technology
205344,ISP,Internet Service Provider (ISP)|Computer and Information Technology
197161,Other,Computer and Information Technology|Software Development
57902,ISP,Eyeball|Computer and Information Technology|Internet Service Provider (ISP)
41524,Enterprise,"Service|Law, Business, and Consulting Services"
41526,Academic/Edu,Education and Research
57928,ISP,"Law, Business, and Consulting Services|Software Development|Service|Computer and Information Technology"
8784,ISP,Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology|Software Development
197205,ISP,"Computer and Information Technology|Media, Publishing, and Broadcasting|Service|Internet Service Provider (ISP)"
57943,ISP,Computer and Information Technology|Internet Service Provider (ISP)
57951,Other,Computer and Information Technology
213599,Unknown,
25186,ISP,Computer and Information Technology|Internet Service Provider (ISP)|Phone Provider
49763,Other,Computer and Information Technology
205413,ISP,Computer and Information Technology|Internet Service Provider (ISP)|IPv6 only
197230,Other,Construction and Real Estate
215049,Content/CDN,Server Hosting
33392,ISP,Eyeball|Internet Service Provider (ISP)|Computer and Information Technology|Validating RPKI ROV
25215,Other,"Service|Banks, Credit Card Companies, Mortgage Providers|Finance and Insurance"
205440,Other,"Civil Engineering Construction (Utility Lines, Roads and Bridges)|Construction and Real Estate"
41605,Other,Software Development|Computer and Information Technology
213638,Other,Personal ASN
8839,Content/CDN,Server Hosting|Real Estate (Residential and/or Commercial)|Construction and Real Estate|Not Validating RPKI ROV
213647,Other,Personal ASN|IPv6 only
58004,Other,Computer and Information Technology|Software Development
205461,Eyeball,"Government and Public Administration|Government and Regulatory Agencies, Administrations, Departments, and Services|Not Validating RPKI ROV|Tranco 10k Host"
58011,Government,"Government and Regulatory Agencies, Administrations, Departments, and Services|Government and Public Administration|Military, Defense, National Security, and International Affairs|Computer and Information Technology"
41628,ISP,Software Development|Internet Service Provider (ISP)|Hosting and Cloud Provider|Service
669,ISP,Internet Service Provider (ISP)|Computer and Information Technology
213668,Unknown,
205483,Enterprise,"Law, Business, and Consulting Services|Service"
58029,Other,Service|Software Development|Computer and Information Technology|Not Validating RPKI ROV
41652,ISP,Eyeball|Internet Service Provider (ISP)|Computer and Information Technology|Not Validating RPKI ROV
41653,ISP,Content|Hosting and Cloud Provider|Computer and Information Technology|Internet Service Provider (ISP)
