src,dst
4455,4809
4809,4812
3356,4837
7497,39120
917,24429
24429,47692
7195,142111
293,45102
680,4837
12779,132203
4621,24429
14907,133865
39351,153725
24429,133210
4651,24429
45102,212483
210937,211729
4134,4847
24516,133865
36236,139799
10111,17639
4837,15412
17557,24429
4809,140627
34854,199932
64289,132203
32590,205794
4837,9009
24429,29075
29632,132203
18041,211575
24429,57304
55967,210937
63631,132337
200242,200959
13058,55967
56665,212793
9304,24429
5580,55967
24429,38082
38195,134578
14537,133865
3223,140633
4809,23673
52025,213605
51185,202782
146762,199524
24115,45102
20485,55967
133865,134823
49434,209650
8888,55967
6939,205369
38855,213605
35360,55967
14907,212793
12859,212793
9498,142111
5511,24429
24429,55720
24482,134578
132203,198150
34549,153725
4809,262589
35280,139799
29049,132203
8220,45102
9002,24429
14907,24429
61292,132203
38855,150289
42541,45102
137409,146834
153725,199524
12859,24429
18106,24429
24429,61573
7713,146762
3212,24429
24429,212635
4837,28917
32590,210426
45629,132203
23764,45102
38001,133865
38008,134578
34428,132203
17676,45102
45102,48362
21320,45102
5405,153725
8888,151673
34549,213605
213151,213605
38008,146834
151673,204211
34872,212164
34177,132203
63956,142111
8888,199392
48646,210426
20764,132203
8359,24429
3223,142111
4837,45629
4809,45796
7720,205369
7473,45102
38880,209650
12713,132203
36236,45102
44324,210352
47692,132203
4538,4635
14537,24429
3257,4134
955,139317
12956,132203
56662,132203
210352,211575
6939,139317
17557,45102
18678,132203
835,132203
16637,45102
38195,140633
210352,212635
1239,4134
8888,204211
49434,212793
55967,212483
24482,140633
41051,205369
8758,153725
9304,45102
924,213605
8298,211575
58299,132203
8426,132203
4809,137409
24429,57695
12552,45102
3216,45102
41327,132203
63927,146834
49544,55967
6939,45102
4134,8529
41095,132203
18041,213605
24429,59105
151673,210937
4134,37468
3491,7497
17639,132203
924,150289
44324,211575
11039,45102
210426,213151
132203,134823
4809,18106
137409,211575
50869,207303
18041,150289
64049,146762
8888,211729
35280,45102
199310,207314
51184,209650
13786,132203
7721,207314
45489,55967
9002,45102
45102,59318
32590,199932
4809,32590
924,199310
132203,199938
18106,45102
25394,132203
8298,209294
40934,45102
4134,45899
38195,142111
34927,205794
45102,142271
132203,213241
37468,55967
7497,8359
6057,132203
21859,45102
25394,202782
4229,45102
24429,37468
14537,142111
44324,209294
204211,210937
45102,51184
24482,142111
2914,24429
140627,142111
7721,212483
4538,4637
6424,139799
62246,139317
1239,142111
4134,327983
1103,7497
199392,206499
12389,24429
24429,39120
33891,209650
24429,48919
57463,146762
39351,209650
12779,153725
174,45102
1273,4134
4837,146788
134578,140227
60144,213605
5713,45102
4808,4837
4764,24429
34854,202782
10111,36236
212793,216182
7552,45102
14840,132203
8298,153725
174,4538
20562,132203
33891,133865
50629,213605
10111,14907
210352,213605
34927,210426
16552,45102
39642,45102
29632,153725
210937,212164
1828,146762
4134,5511
4134,7497
24429,327983
7721,207303
45102,45896
24115,137753
35710,132203
45701,134578
1836,55967
51185,55967
25091,153725
212483,213605
2734,10111
4134,52075
4230,24429
8298,213605
4837,263152
10111,64049
31510,132203
132203,206356
132203,150369
4809,38082
4812,10100
24429,64289
8218,132203
52320,132203
34549,209650
4809,4847
8298,150289
4181,142111
44324,213605
25091,213605
210937,216299
200242,205369
137409,213605
20932,153725
4134,7552
30844,45102
207303,216182
24429,38880
39351,207303
25152,45102
132203,264479
44324,150289
4837,6453
5580,134578
15547,132203
39351,212793
24482,150289
3399,4837
3216,4837
2518,45102
24429,52075
48237,55967
6424,45102
5405,209650
4764,142111
7713,146834
5580,146834
55967,59318
38880,45102
34872,205794
153725,272403
44324,199310
34177,153725
4538,9808
32590,45102
38008,150289
4538,58453
132203,198385
3356,132203
45701,140633
139317,199518
47498,209294
45102,58717
34927,199932
22356,213605
56662,153725
150289,216182
4809,142111
1267,4134
1764,132203
45102,55818
7768,205794
3214,45102
60539,132203
64049,132203
2500,132203
24115,146762
58299,153725
41327,55967
60539,202782
4134,8359
4608,45102
132337,146762
24482,205794
34872,210426
6204,132203
45102,56665
17639,153725
8359,63631
174,4837
9002,137753
8966,24429
4764,4809
14537,63631
34927,205369
24429,205112
55720,63631
45701,142111
205794,216182
10111,17676
553,45102
17660,133865
10111,33891
25394,55967
211729,216182
58299,151673
23673,45102
37100,55967
5405,24429
21412,45102
57695,132203
49544,134578
924,207303
6453,55967
57463,132203
132203,212024
52025,216299
58299,199392
49544,146834
7768,210426
55967,264409
4621,146762
38855,216299
133865,137409
4134,34549
955,55967
559,55967
209650,210937
6939,55967
45102,213151
4809,37468
36236,146762
24429,61568
50629,209650
47147,153725
58299,200936
17557,146762
10111,45489
134578,138997
18041,24429
47498,150289
58299,204211
1140,132203
31027,55967
4809,39120
1828,132203
4134,24429
17290,210352
200242,202782
8283,24429
8298,209650
8758,24429
3491,45102
3216,146762
20562,55967
24429,34428
47498,199310
213151,216299
12198,213605
29632,209650
24429,34549
4538,14537
4837,12389
45102,209823
7195,45102
34872,199932
17660,24429
55967,58717
25091,209650
199932,200242
137409,209650
35710,55967
3491,4538
58299,211729
4842,19754
35280,146762
10111,17557
213605,215956
205794,213151
9002,146762
14907,146762
31510,153725
8966,45102
10111,57463
25160,153725
10111,14537
45102,58453
211729,213151
29691,45102
38008,209650
14537,38345
29075,132203
24429,48362
8218,153725
45102,205206
4766,45102
20932,209650
29049,209650
45102,63956
1239,38345
45102,151326
9009,24429
1103,45102
7768,199932
55967,56665
4826,45102
53062,139799
24429,29140
4777,45102
18041,216299
13030,24429
2516,45102
37282,45102
8529,10111
15547,153725
3462,24429
4809,38880
38008,133865
3462,4134
199310,216182
209022,212793
24482,199932
60602,213605
205794,209823
132203,137409
12779,24429
209650,212483
8298,207303
212483,212793
34288,132203
4842,394256
9498,45102
8298,212793
4134,9505
20473,199392
29632,212793
44324,207303
4134,20485
4134,45102
24429,35598
8298,24429
51087,213605
15958,55967
199524,213605
4809,36236
41666,132203
150289,207705
4641,7497
25091,212793
24115,132203
137409,212793
55967,213151
16552,146762
28716,45102
1828,10111
25220,55967
38082,45102
4134,51184
20473,200936
202782,213151
199392,210937
4181,4842
39120,153725
24429,34927
58453,146762
4134,9318
24482,139799
45102,50629
45430,132203
24429,39249
63927,133865
38001,146762
4134,4780
132203,132337
8220,132203
60326,153725
3223,45102
64049,153725
14630,132203
20932,212793
4134,12956
4809,64049
24429,45102
17639,209650
8298,212164
4538,15412
24429,142271
3303,55967
23764,132203
6204,153725
53667,211575
17676,132203
39120,213605
35625,55967
21320,132203
55967,209823
286,4134
10111,134823
20932,24429
132337,146834
45102,58952
25091,212164
9009,45102
4621,132203
24429,30781
17290,213605
207303,209022
3491,4837
2914,9929
17639,133865
132203,133210
4134,8218
36236,132203
8529,55967
4134,15802
24429,34177
8888,205794
6204,213605
38880,146762
4842,137409
45489,153725
3204,200959
55967,58453
17557,132203
37721,209650
8298,216299
209294,216182
3214,55967
20764,24429
32590,146762
31500,202782
55967,63956
55967,151326
4837,37468
44324,216299
4608,55967
9304,132203
57050,211575
25091,216299
4455,55967
835,24429
7768,45102
4837,6461
38195,45102
132203,271253
4842,32590
24429,45896
150289,209022
56665,132203
4766,4837
11039,132203
4842,6939
7497,9808
139317,151673
153725,216182
4842,132337
4837,10099
5511,132203
24482,45102
132203,138997
35280,132203
8426,24429
2516,4837
134823,140633
955,134578
21412,55967
1239,45102
151673,213151
9002,132203
14907,132203
8888,210426
47498,207303
12859,132203
955,146834
18106,132203
17639,24429
40934,132203
24429,264409
6939,146834
24429,58299
4842,49544
47498,212793
3212,132203
56662,212164
8966,137753
21859,132203
132203,212635
45102,50673
4229,132203
199518,210352
1239,4538
205369,209823
60171,132203
139317,204211
7713,209650
4134,4837
4134,8220
35280,146834
10111,150369
13237,24429
1299,24429
45102,57344
8218,209650
60602,209650
4134,55818
8359,132203
23673,146762
205794,209022
58299,212164
24429,213241
10111,24516
24429,35360
24429,35710
55818,132203
174,132203
204211,213151
200242,200936
4775,45102
9930,146762
3491,55967
4621,10111
5713,132203
55720,132203
4134,23764
200242,204211
45896,146762
4651,10111
7713,133865
53667,150289
835,216299
4134,4637
7721,205369
50629,200959
4837,7497
18678,142111
55967,58952
51185,213605
10111,21859
24429,58717
10111,38195
57050,153725
4635,7497
139317,211729
6461,45102
205794,206499
39642,132203
58299,216299
24429,55818
139317,204508
8455,55967
4181,45102
34927,55967
8298,200959
2734,142111
15412,45102
24429,198249
49434,132203
209294,209823
4134,327782
153725,213151
38001,132203
200242,211729
57050,213605
39351,205369
7470,45102
8888,199932
24482,200959
6939,211575
25091,200959
210352,216182
39120,209650
45102,61292
45796,55967
10111,63927
48919,132203
4134,9498
8218,212793
24429,31027
204211,207529
9002,10111
8966,146762
151673,200242
6057,142111
7713,24429
24429,327782
153725,209823
7721,199518
6204,209650
17433,153725
9498,55967
4538,140627
2914,132203
2518,132203
8218,24429
6424,132203
49544,209650
45102,51185
60602,139799
1299,45102
38880,132203
6939,209294
4809,7195
62246,210352
12198,139317
4826,146762
4777,146762
211509,211575
4837,5405
4134,209823
3257,4837
7720,211575
24429,38195
211575,213605
17433,213605
2734,4809
45489,209650
36236,153725
1239,4837
4538,23673
10111,140627
1031,139799
29140,45102
4842,35280
199310,209022
4641,45102
4134,9808
37468,209650
17433,150289
3223,55967
4635,4842
4134,58453
209650,216182
4134,9929
45102,57777
10111,45352
3356,24429
32590,146834
205112,209650
3356,4134
36236,213605
40271,45102
24429,38008
57463,133865
1140,209650
4837,61568
680,24429
6939,153725
47957,55967
17433,199310
4538,6453
51184,132203
45102,199524
137409,137753
56665,153725
7497,132337
4837,6762
39120,139799
4780,24429
4775,4837
59105,146762
20473,209294
4837,17621
6204,212793
150000,205369
58952,146762
2500,24429
35280,153725
24429,38855
49544,212793
200936,212635
9002,153725
6939,213605
38008,137753
1828,133865
41051,209294
286,137753
24429,205206
