asn,CAIDA ASRank,APNIC eyeball estimates (CN),IHR country ranking: Total eyeball (CN),IHR country ranking: Total AS (CN),CrUX top 1M (CN)
132591,67211,,,,
211051,67211,,,,
139189,67211,,,,
137264,67211,,,,
24355,67211,,,,
141776,67211,,,,
24362,67211,,,,
24150,67211,,,,
63571,67211,,,,
146792,67211,,,,
135671,67211,,,,
137795,67211,,,,
205152,67211,,,,
150184,67211,,,,
153376,67211,,,,
139122,67211,,,,
207901,67211,,,,
17776,67211,,,,
7586,78082,,,,
137784,78112,,,,
133465,78112,,,,
211843,78112,,,,
24350,78166,,,,
149304,78166,,,,
24371,78166,,,,
63582,78166,,,,
139137,78166,,,,
9802,78166,,,,
149511,78166,,,,
63655,78166,,,,
24353,78166,,,,
138369,78166,,,,
63567,78166,,,,
138378,78166,,,,
131490,78166,,,,
24352,78166,,,,
24372,78166,,,,
24364,78166,,,,
24370,78166,,,,
210352,78166,,,,
149475,78166,,,,
59025,78166,,,,
