probe_id,cc,asn,lon,lat
1009388,,45090,,
1009389,,45090,,
1009390,,45090,,
1009391,,45090,,
1009392,,132203,,
1009394,,132203,,
1009395,,132203,,
1009397,,132203,,
1009398,,132203,,
1009399,,132203,,
1009400,,132203,,
1009401,,132203,,
1009404,,132203,,
1009405,,132203,,
1009419,,140726,,
1009440,,140726,,
1009452,,215007,,
1009453,,215007,,
1009460,,140726,,
1009475,,4134,,
1009480,,4134,,
1009581,,215750,,
1009587,,215750,,
1009589,,215750,,
1009591,,215750,,
1009603,,215750,,
1009739,,37963,,
1009769,,215750,,
1009854,,45102,,
1009855,,45102,,
1009855,,45102,,
1009928,,45102,,
1009939,,199310,,
1009939,,45102,,
1009966,,56041,,
1009996,,134773,,
1010004,,4134,,
1010034,,56041,,
1010198,,146817,,
1010198,,4134,,
1010225,,4134,,
1010225,,4134,,
1010334,,4134,,
1010334,,4134,,
1010345,,9808,,
1010357,,4837,,
1010358,,4837,,
1010362,,56045,,
1010363,,9808,,
1010364,,4837,,
1010365,,4837,,
1010366,,4837,,
1010367,,4837,,
1010368,,9808,,
1010389,,37963,,
1010487,,4837,,
1010487,,4837,,
1010567,,45102,,
1010891,,213605,,
1010892,,213605,,
1010892,,213605,,
1010898,,45102,,
1010899,,45102,,
1010937,,9808,,
1010940,,132203,,
1011014,,45102,,
1011016,,45102,,
1011017,,45102,,
1011018,,45102,,
1011059,,45102,,
1011059,,45102,,
1011136,,136188,,
1011149,,9808,,
1011150,,4134,,
1011169,,213404,,
1011174,,45102,,
1011270,,211575,,
1011357,,211729,,
1011369,,45102,,
1011369,,45102,,
1011374,,45102,,
1011374,,45102,,
1011375,,45102,,
1011375,,45102,,
1011395,,45102,,
1011395,,45102,,
1011397,,45102,,
1011509,,211729,,
1011529,,4538,,
1011530,,37963,,
1011584,,211729,,
1011585,,211729,,
1011586,,211729,,
1011632,,45090,,
1011632,,45090,,
1011725,,211575,,
1011731,,37963,,
1011750,,4134,,
1011759,,45102,,
1011768,,37963,,
1011768,,37963,,
1011805,,211575,,
1011836,,132203,,
1011836,,132203,,
1012095,,150289,,
1012131,,211575,,
1012132,,211575,,
1012209,,55960,,
1012210,,135629,,
1012225,,211575,,
1012229,,213404,,
1012230,,211729,,
1012369,,4808,,
1012369,,4808,,
1012748,,4134,,
1012842,,214955,,
1012844,,214955,,
1012848,,17622,,
1012870,,24400,,
1012870,,24400,,
1012933,,4837,,
1012934,,4837,,
1012969,,214439,,
1012969,,214439,,
1012970,,211575,,
1012970,,4134,,
1012972,,214439,,
1012980,,213605,,
1012983,,214439,,
1013205,,132203,,
1013205,,132203,,
1013210,,132203,,
1013216,,4812,,
1013643,,24444,,
1013705,,45102,,
1013774,,132203,,
1013911,,9808,,
1014053,,24547,,
1014053,,24547,,
1014181,,56044,,
1014181,,56044,,
1014184,,56044,,
1014184,,56044,,
1014219,,37963,,
1014224,,45102,,
1014226,,37963,,
1014227,,37963,,
1014228,,37963,,
1014229,,37963,,
1014230,,37963,,
1014231,,37963,,
1014232,,37963,,
1014233,,37963,,
1014265,,153725,,
1014265,,153725,,
1014364,,45090,,
1014365,,37963,,
1014366,,37963,,
1014367,,45090,,
1014417,,9808,,
1014448,,37963,,
1014519,,45090,,
1014519,,45090,,
1014520,,137718,,
1014619,,134768,,
1014632,,37963,,
1015050,,132203,,
1015051,,132203,,
1015052,,132203,,
1015053,,132203,,
1015065,,4808,,
1015078,,37963,,
1015136,,4837,,
1015144,,4837,,
1015158,,4134,,
1015160,,24400,,
1015160,,24400,,
1015174,,4837,,
1015183,,140726,,
1015241,,4808,,
