src,dst,hege
59074,58453,0.33333333333333326
59074,6939,0.393939393939394
59074,3356,0.0606060606060606
59078,58453,1.0
59078,3491,0.09090909090909091
59078,3356,0.1875
59078,174,0.08664021164021164
59083,6939,0.4090909090909091
59083,3356,0.06481481481481483
59083,1299,0.10648148148148147
59083,6939,0.053240740740740734
59223,6939,0.4090909090909091
59223,1299,0.0828598484848485
59265,3491,0.13636363636363635
60666,210000,1.0
60666,6939,1.0
60666,6424,0.18181818181818182
63531,58453,1.0
63531,3356,0.2659313725490196
63538,174,0.13541666666666666
63538,1299,0.23958333333333334
63538,20473,0.96875
63538,3491,0.125
63538,20473,1.0
63538,2914,0.4090909090909091
63538,1299,0.2727272727272727
63538,6939,0.22727272727272727
63548,1299,0.10069444444444443
63548,174,0.05902777777777778
63548,6939,0.05555555555555556
63555,174,0.6041666666666666
63555,3491,0.3913690476190476
63561,1299,0.08333333333333333
63561,174,0.0625
63567,59692,0.875
63567,2914,0.125
63567,50131,1.0
63567,1299,0.20833333333333334
63567,13378,1.0
63567,57724,0.10416666666666667
63567,49612,1.0
63580,1299,0.14583333333333334
63580,3356,0.22916666666666666
63580,23764,0.5
63581,701,0.09090909090909091
63581,6939,0.5454545454545454
63581,6939,0.08333333333333333
63581,1299,0.15625
63593,21859,1.0
63593,9498,1.0
63603,2914,0.4166666666666667
63603,6939,0.6041666666666666
63603,131091,1.0
63614,174,0.09090909090909091
63614,58453,1.0
63614,3356,0.13636363636363635
63614,6939,0.36363636363636365
63614,174,0.10416666666666667
63614,58453,1.0
63614,3356,0.20833333333333334
63617,1299,0.14583333333333334
63617,6939,0.06666666666666667
63617,3356,0.11666666666666665
63620,133527,1.0
63620,6939,1.0
63620,133527,1.0
63620,6939,0.10416666666666667
