asn,hostname_count,ip_count,country,org_name,org_tags
17428,98,54,CN,21vianet(China) Inc.,Software Development|Not Validating RPKI ROV|Computer and Information Technology
24350,98,60,CN,CERNET2 IX at Beijing University of Posts and Telecommunications,"Colleges, Universities, and Professional Schools|Validating RPKI ROV|Education and Research"
148969,97,31,CN,China Telecom,"Music and Video Industry|Museums, Libraries, and Entertainment|Media, Publishing, and Broadcasting"
9929,91,75,CN,CNCGROUP IP network of ShangHai IDC,Eyeball|Not Validating RPKI ROV|Internet Service Provider (ISP)
151295,91,5,CN,"Jiangsu Yinsuyun Network Technology Co. , Ltd.",Research and Development Organizations|Online Informational Content|Education and Research
133118,90,14,CN,China Unicom,Computer and Information Technology|Not Validating RPKI ROV|Internet Service Provider (ISP)
24348,89,65,CN,CERNET2 IX at Tsinghua University,"Colleges, Universities, and Professional Schools|Not Validating RPKI ROV|Education and Research"
134769,89,95,CN,ChinaNet Jiangsu Changzhou Liyang IDC network,Internet Service Provider (ISP)|Computer and Information Technology
24427,88,5,CN,Freecomm Corporation,Internet Service Provider (ISP)|Not Validating RPKI ROV|Computer and Information Technology
24369,87,65,CN,CERNET2 IX at Northeast University,"Education and Research|Validating RPKI ROV|Colleges, Universities, and Professional Schools"
45576,87,12,CN,Tsinghua University,"IPv6 only|Education and Research|Colleges, Universities, and Professional Schools"
24352,86,58,CN,CERNET2 IX at Tianjin University,"Colleges, Universities, and Professional Schools|Validating RPKI ROV|Education and Research"
138182,86,78,CN,China Education and Research Network (CERNET),IPv6 only|Not Validating RPKI ROV|Computer and Information Technology
140726,84,51,CN,China Unicom,Business Broadband|Not Validating RPKI ROV|Phone Provider
151058,82,33,CN,China Telecom,"Media, Publishing, and Broadcasting|Museums, Libraries, and Entertainment|Music and Video Industry"
17964,81,50,CN,"Beijing Dian-Xin-Tong Network Technologies Co., Ltd.",Eyeball|Not Validating RPKI ROV|Internet Service Provider (ISP)
138370,81,63,CN,China Education and Research Network (CERNET),IPv6 only|Not Validating RPKI ROV|Computer and Information Technology
24354,80,71,CN,CERNET2 IX at Lanzhou University,IPv6 only|Not Validating RPKI ROV|Computer and Information Technology
138375,79,38,CN,China Education and Research Network (CERNET),IPv6 only|Not Validating RPKI ROV|Internet Service Provider (ISP)
24371,78,67,CN,CERNET2 IX at Jilin University,"Education and Research|Not Validating RPKI ROV|Colleges, Universities, and Professional Schools"
