asn,facility,country
24429,Equinix ME1/ME2 - Melbourne,AU
24429,Regional Data Hub (RDH),EG
210903,TsingYao HeBei DC,CN
58336,TsingYao HeBei DC,CN
212793,"WIIT Datacenter DUS1, DUS2, DUS3, DUS4, DUS6, DUS7",DE
45587,AT TOKYO (CC1/CC2),JP
10111,AT TOKYO (CC1/CC2),JP
24429,"Equinix NY2/NY4/NY5/NY6 - New York, Secaucus",US
24429,"Equinix LD7 -  London, Slough",GB
24429,DBN Data Center Blitar,ID
45102,LG Uplus Pyeongchon IDC,KR
4134,"Equinix MI1 - Miami, NOTA",US
24429,"Equinix MI1 - Miami, NOTA",US
4837,"Equinix MI1 - Miami, NOTA",US
132591,"Equinix MI1 - Miami, NOTA",US
137264,CoreSite - Los Angeles (LA2),US
7586,CoreSite - Los Angeles (LA2),US
137813,CoreSite - Los Angeles (LA2),US
10111,DataCentre220,NZ
24429,Odata DC BG01,CO
131530,China International Electronic Commerce Center,CN
4809,Equinix SP2 - São Paulo,BR
132591,Equinix SP2 - São Paulo,BR
210903,TsingYao Inner Mongolia DC,CN
58336,TsingYao Inner Mongolia DC,CN
132591,"Equinix LD8 - London, Docklands",GB
4837,"Equinix LD8 - London, Docklands",GB
4134,"Equinix LD8 - London, Docklands",GB
10111,"Equinix LD8 - London, Docklands",GB
42962,Djibouti Data Center,DJ
45102,DCI Indonesia (JK1),ID
132203,Colt DC Tokyo II,JP
10111,NTT Com Asia Hong Kong Financial Data Center,HK
4837,"Equinix SK1 - Stockholm, Bromma",SE
42962,CoreSite - Chicago (CH1),US
24429,"Equinix FR5 - Frankfurt, KleyerStrasse",DE
42962,KINX Gasan,KR
4134,Flexential - Portland/Hillsboro 2 (PDX02),US
42962,Global Switch Paris,FR
45102,Equinix TY10 - Tokyo,JP
42962,Cirion Sao Paulo - SAO1,BR
45102,"Equinix SV8 - Silicon Valley, Palo Alto",US
10111,Maruyama Cable Landing Station,JP
45102,Khazna Data Center – Dubai,AE
24429,Equinix RJ2 - Rio de Janeiro,BR
45102,"Equinix SV1/SV5/SV10 - Silicon Valley, San Jose",US
214439,"Equinix SV1/SV5/SV10 - Silicon Valley, San Jose",US
132203,"Equinix SV1/SV5/SV10 - Silicon Valley, San Jose",US
4837,"Equinix SV1/SV5/SV10 - Silicon Valley, San Jose",US
63959,"Equinix SV1/SV5/SV10 - Silicon Valley, San Jose",US
24429,"Equinix SV1/SV5/SV10 - Silicon Valley, San Jose",US
10111,"Equinix SV1/SV5/SV10 - Silicon Valley, San Jose",US
4134,"Equinix SV1/SV5/SV10 - Silicon Valley, San Jose",US
211729,LoliNya Network - NBDC,CN
214439,Equinix HK1 - Hong Kong,HK
42962,Equinix HK1 - Hong Kong,HK
63631,Equinix HK1 - Hong Kong,HK
137017,Equinix HK1 - Hong Kong,HK
133865,Equinix HK1 - Hong Kong,HK
63959,Equinix HK1 - Hong Kong,HK
10111,Equinix TY2 - Tokyo,JP
133952,Equinix TY2 - Tokyo,JP
42962,Equinix TY2 - Tokyo,JP
4134,Digital Realty NYC (60 Hudson),US
212793,KoloDC NL1,NL
42962,"Teraco Johannesburg Campus, South Africa",ZA
24429,"Teraco Johannesburg Campus, South Africa",ZA
4809,"Teraco Johannesburg Campus, South Africa",ZA
42962,Equinix DA1 - Dallas,US
45102,Digital Realty ICN10 - Seoul,KR
42962,KINX Dogok,KR
205532,Equinix TY6 - Tokyo,JP
210176,Equinix TY6 - Tokyo,JP
4842,Equinix TY6 - Tokyo,JP
137017,SVTIX San Jose,US
139216,Psychz Networks LAX1,US
136189,Telin-3,SG
24429,KIO Querétaro 1 (QRO1),MX
45102,KIO Querétaro 1 (QRO1),MX
205532,TGT Hong Kong Data Centre 2,HK
4842,TGT Hong Kong Data Centre 2,HK
63959,Equinix SY1/SY2 - Sydney,AU
24429,Equinix SY1/SY2 - Sydney,AU
205532,Hurricane Electric Fremont 2,US
212793,Hurricane Electric Fremont 2,US
208830,Hurricane Electric Fremont 2,US
138365,Hurricane Electric Fremont 2,US
24429,"Equinix LA3/LA4 - Los Angeles, El Segundo",US
140682,ColoCrossing LA1,US
24429,Cirion Santiago de Chile - SAN1,CL
131285,Cyber Data Center International Jakarta,ID
