asn,degree,betweenness,eigenvector,pagerank,rank_degree,rank_betweenness,rank_eigenvector,rank_pagerank
132479,5.723050156811574e-05,3.477957663293232e-06,5.722022250273586e-05,8.708521057104214e-06,17035,10670,35685,13476
142641,0.00011446100313623148,1.1676298747356356e-05,0.0004836371140498127,8.66098961137289e-06,12286,6935,12841,13533
56044,3.433830094086944e-05,1.1446231328335146e-05,3.4425530741117357e-07,8.589089166413884e-06,22758,8007,76009,13651
63835,2.2892200627246296e-05,0.0005050272676214178,1.7342597581471605e-05,8.521145018609666e-06,31060,779,51771,13761
63701,3.433830094086944e-05,1.02897615992925e-06,8.259988995781605e-06,8.472614172655593e-06,22780,13695,59151,13833
63531,3.433830094086944e-05,0.0,2.2900619412101594e-07,8.381525424253346e-06,22790,38802,77384,13966
42962,5.723050156811574e-05,2.2900853526093723e-05,0.00013511808961209914,8.361355282384272e-06,17099,4915,21663,13996
58834,3.433830094086944e-05,0.0,1.5117640088082652e-07,8.353145863040121e-06,22794,38807,78347,14017
214933,0.00013735320376347777,5.223960204235615e-07,0.00020569247352772392,8.35039804688231e-06,11414,15784,16829,14020
216056,0.00012590710344985464,6.568188509190683e-07,0.00014877054675944932,8.245468235598354e-06,11848,15110,20289,14202
208754,0.0002174759059588398,0.0,0.0016644876848568553,8.237197076382144e-06,9283,38813,8270,14219
202335,0.00013735320376347777,2.7090771121301565e-07,0.00010084041809252416,8.223064728653448e-06,11424,17816,26789,14249
215750,0.00012590710344985464,6.875760420093542e-07,0.00034771082027384715,8.215013390876183e-06,11850,14988,14076,14263
139721,4.578440125449259e-05,1.0672336321090181e-05,1.734323963631039e-05,8.18971195911579e-06,19139,8778,51758,14325
56282,3.433830094086944e-05,4.194512870352276e-08,1.5016130349792577e-08,8.176795071742851e-06,22820,24172,81617,14349
132525,2.2892200627246296e-05,1.1446231328335146e-05,2.2761991591375308e-07,8.144026945268105e-06,31118,8048,77406,14393
9818,3.433830094086944e-05,1.6716993042688328e-08,9.755508888790028e-08,8.139917585116348e-06,22822,27977,79277,14401
18239,3.433830094086944e-05,1.6716993042688328e-08,9.755508888790028e-08,8.139917585116348e-06,22823,27978,79278,14402
58811,3.433830094086944e-05,1.6716993042688328e-08,9.755508888790028e-08,8.139917585116348e-06,22824,27979,79279,14403
55468,3.433830094086944e-05,1.6716993042688328e-08,9.755508888790028e-08,8.139917585116348e-06,22825,27980,79280,14404
59029,3.433830094086944e-05,1.6716993042688328e-08,9.755508888790028e-08,8.139917585116348e-06,22826,27981,79281,14405
45071,3.433830094086944e-05,1.6716993042688328e-08,9.755508888790028e-08,8.139917585116348e-06,22827,27982,79282,14406
24430,3.433830094086944e-05,1.6716993042688328e-08,9.755508888790028e-08,8.139917585116348e-06,22828,27983,79283,14407
