asn,category,tags
58181,Enterprise,"Service|Law, Business, and Consulting Services|Content"
49992,Other,"Water Transportation|Retail Stores, Wholesale, and E-commerce Sites|Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)|Freight, Shipment, and Postal Services"
25418,ISP,Software Development|Internet Service Provider (ISP)|Computer and Information Technology
58186,Other,"Phone Provider|Computer and Information Technology|Museums, Libraries, and Entertainment|Software Development"
205644,ISP,Computer and Information Technology|Internet Service Provider (ISP)|Hosting and Cloud Provider
25433,ISP,Computer and Information Technology|Internet Service Provider (ISP)
213857,Other,"Health Care Services|Nursing, Residential Care Facilities, Assisted Living, and Home Health Care"
50018,ISP,Computer and Information Technology|Internet Service Provider (ISP)
205668,Content/CDN,Content|Hosting and Cloud Provider|Computer and Information Technology|VPN Host
205670,ISP,Computer and Information Technology|Internet Service Provider (ISP)|Software Development
50026,Academic/Edu,Education and Research
25453,ISP,Internet Service Provider (ISP)|Software Development|Computer and Information Technology
25459,ISP,Content|Not Validating RPKI ROV|Computer and Information Technology|Internet Service Provider (ISP)
41846,Other,Community Groups and Nonprofits
50049,Other,"Content|Retail Stores, Wholesale, and E-commerce Sites|Tor services"
213892,Other,Travel and Accommodation|Air Travel
50054,Other,Community Groups and Nonprofits
41880,Other,"Online Music and Video Streaming Services|Media, Publishing, and Broadcasting|Retail Stores, Wholesale, and E-commerce Sites"
25497,ISP,Computer and Information Technology|Internet Service Provider (ISP)
50072,Other,"Online Music and Video Streaming Services|Media, Publishing, and Broadcasting"
197532,ISP,Personal ASN|IPv6 only|Manufacturing|Internet Service Provider (ISP)
205726,ISP,Internet Service Provider (ISP)|Computer and Information Technology
41887,ISP,Content|Not Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology
58272,ISP,"Media, Publishing, and Broadcasting|Computer and Network Security|Internet Service Provider (ISP)|Computer and Information Technology"
58291,ISP,Server Hosting|Not Validating RPKI ROV|Computer and Information Technology|Internet Service Provider (ISP)
25525,ISP,Internet Service Provider (ISP)|Computer and Information Technology|VPN Host|Carrier
9143,ISP,Eyeball|Internet Service Provider (ISP)|Computer and Information Technology
205755,ISP,"Media, Publishing, and Broadcasting|Computer and Information Technology|Online Informational Content|Software Development"
9150,ISP,Computer and Information Technology|Validating RPKI ROV|Internet Service Provider (ISP)
25542,ISP,Computer and Information Technology|Internet Service Provider (ISP)|VPN Host
50119,Content/CDN,"Service|Buildings, Repair, Maintenance (Pest Control, Landscaping, Cleaning, Locksmiths, Car Washes, etc)|Banks, Credit Card Companies, Mortgage Providers|Computer and Information Technology"
213959,ISP,Personal ASN|Computer and Information Technology|Internet Service Provider (ISP)|Tor services
213968,Other,Computer and Information Technology
50149,ISP,"Retail Stores, Wholesale, and E-commerce Sites|Internet Service Provider (ISP)|Computer and Information Technology|Construction and Real Estate"
41960,ISP,Carrier|Validating RPKI ROV|Computer and Information Technology|Internet Service Provider (ISP)
213999,Content/CDN,"Hosting, Cloud Provider, Data Center, Server Colocation|Computer and Information Technology"
50167,ISP,"Retail Stores, Wholesale, and E-commerce Sites|Hosting, Cloud Provider, Data Center, Server Colocation|Computer and Information Technology|Internet Service Provider (ISP)"
25595,Academic/Edu,"Education and Research|Online Informational Content|Media, Publishing, and Broadcasting"
25596,ISP,Eyeball|Validating RPKI ROV|IPv6 only|Home ISP
197629,ISP,Internet Service Provider (ISP)|Hosting and Cloud Provider|Online Music and Video Streaming Services|Software Development
41982,Content/CDN,"Law, Business, and Consulting Services|Service|Computer and Information Technology|Hosting and Cloud Provider"
25599,ISP,"Law, Business, and Consulting Services|Technology Consulting Services|Computer and Information Technology|Service"
197631,Other,Computer and Information Technology|Software Development
